approvedSymbol	targetId	pathways	pathwayTerms	neuroFluxSubset	totalScoreNorm	neuroFluxTarget	geneticAD	maxPhase	isDrugTarget	UMAP 1	UMAP 2	cluster	clusterManual	clusterName3Words	clusterNameReactome	clusterNameGOBP	prioritised
ATOX1	ENSG00000177556	R-HSA-168249; R-HSA-168256	Innate Immune System; Immune System	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.311167605	1	0		0	16.483578	-7.000915	-1		Noise			0
ATP2A1	ENSG00000196296	R-HSA-157118; R-HSA-382551; R-HSA-162582	Signaling by NOTCH; Transport of small molecules; Signal Transduction		0	0	1		0	-1.0655041	6.40348	-1		Noise			0
ATP2A2	ENSG00000174437	R-HSA-157118; R-HSA-162582; R-HSA-382551	Signaling by NOTCH; Signal Transduction; Transport of small molecules	"PSEN1.Intron4, AD_MIX"	0.082165326	1	0		0	-1.0036335	6.704065	-1		Noise			0
ATP8B4	ENSG00000104043	R-HSA-168249; R-HSA-6798695; R-HSA-168256; R-HSA-382551	Innate Immune System; Neutrophil degranulation; Immune System; Transport of small molecules		0	0	1		0	3.8439581	14.101758	-1		Noise			0
BANF1	ENSG00000175334	R-HSA-69278; R-HSA-162906; R-HSA-1640170	"Cell Cycle, Mitotic; HIV Infection; Cell Cycle"		0	0	1		0	-10.760038	7.808262	-1		Noise			0
BCL11A	ENSG00000119866	R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers		0	0	1		0	3.7764237	5.3722124	-1		Noise			0
CADM2	ENSG00000175161	R-HSA-421270; R-HSA-1500931	Cell-cell junction organization; Cell-Cell communication	"SORL1.null, AD_MIX"	0.082165326	1	1		0	4.1754384	9.1326885	-1		Noise			0
CASP2	ENSG00000106144	R-HSA-73887; R-HSA-193704; R-HSA-204998; R-HSA-168249; R-HSA-168256; R-HSA-162582	"Death Receptor Signaling; p75 NTR receptor-mediated signalling; Cell death signalling via NRAGE, NRIF and NADE; Innate Immune System; Immune System; Signal Transduction"	"SORL1.null, AD_IND, AD_MONO.MIX, AD_MIX"	0.316599025	1	0		0	-4.0435977	12.209109	-1		Noise			1
CAV2	ENSG00000105971	R-HSA-9006931; R-HSA-162582	Signaling by Nuclear Receptors; Signal Transduction		0	0	1		0	-8.11875	12.913335	-1		Noise			0
CCNH	ENSG00000134480	R-HSA-69275; R-HSA-69206; R-HSA-453279; R-HSA-453274; R-HSA-162906; R-HSA-69278; R-HSA-69242; R-HSA-1640170	"G2/M Transition; G1/S Transition; Mitotic G1 phase and G1/S transition; Mitotic G2-G2/M phases; HIV Infection; Cell Cycle, Mitotic; S Phase; Cell Cycle"		0	0	1		0	-10.073942	8.321071	-1		Noise			0
CCNT2	ENSG00000082258	R-HSA-9006936; R-HSA-162906; R-HSA-162582	Signaling by TGFB family members; HIV Infection; Signal Transduction		0	0	1		0	-3.2299554	4.834562	-1		Noise			0
CD163	ENSG00000177575	R-HSA-9824443; R-HSA-9658195; R-HSA-5653656	Parasitic Infection Pathways; Leishmania infection; Vesicle-mediated transport	"APP.V717I, AD_MONO.MIX, AD_MIX"	0.201271858	1	0		0	-3.8629544	9.716163	-1		Noise			0
CD2AP	ENSG00000198087	R-HSA-1500931	Cell-Cell communication		0	0	1		0	5.5367136	8.965391	-1		Noise			0
CD33	ENSG00000105383	R-HSA-6798695; R-HSA-168249; R-HSA-198933; R-HSA-1280218; R-HSA-168256	Neutrophil degranulation; Innate Immune System; Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Adaptive Immune System; Immune System		0	0	1		0	5.4212074	-6.9894347	-1		Noise			0
CD81	ENSG00000110651	R-HSA-198933; R-HSA-168249; R-HSA-977606; R-HSA-166658; R-HSA-1280218; R-HSA-168256	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Innate Immune System; Regulation of Complement cascade; Complement cascade; Adaptive Immune System; Immune System	"SORL1.null, AD_MIX"	0.082165326	1	0		0	5.071783	-7.34051	-1		Noise			0
CD8B	ENSG00000172116	R-HSA-198933; R-HSA-162906; R-HSA-1280218; R-HSA-168256	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; HIV Infection; Adaptive Immune System; Immune System	"SORL1.null, AD_IND, AD_MONO.MIX, AD_MIX"	0.43283143	1	0		0	2.539667	13.420864	-1		Noise			0
CD9	ENSG00000010278	R-HSA-76002	"Platelet activation, signaling and aggregation"	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.311167605	1	0		0	17.575533	17.493816	-1		Noise			0
CDH13	ENSG00000140945	R-HSA-421270; R-HSA-1500931	Cell-cell junction organization; Cell-Cell communication		0	0	1		0	4.684297	8.750969	-1		Noise			0
CENPE	ENSG00000138778	R-HSA-69278; R-HSA-199991; R-HSA-69620; R-HSA-1280218; R-HSA-168256; R-HSA-5653656; R-HSA-1640170; R-HSA-162582	"Cell Cycle, Mitotic; Membrane Trafficking; Cell Cycle Checkpoints; Adaptive Immune System; Immune System; Vesicle-mediated transport; Cell Cycle; Signal Transduction"	"SORL1.null, AD_IND, AD_MONO.MIX, AD_MIX"	0.295959626	1	0		0	-5.5028663	6.7848997	-1		Noise			0
CHD1	ENSG00000153922	R-HSA-9006931; R-HSA-162582	Signaling by Nuclear Receptors; Signal Transduction		0	0	1		0	-7.833666	12.462816	-1		Noise			0
CLDN2	ENSG00000165376	R-HSA-421270; R-HSA-1500931	Cell-cell junction organization; Cell-Cell communication	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.356791539	1	0		0	4.7802906	9.128179	-1		Noise			0
CLEC1B	ENSG00000165682	R-HSA-76002	"Platelet activation, signaling and aggregation"	"PSEN1.Intron4, AD_MIX"	0.104977294	1	0		0	17.313843	17.23279	-1		Noise			0
CLSPN	ENSG00000092853	R-HSA-69620; R-HSA-1640170	Cell Cycle Checkpoints; Cell Cycle	"PSEN1.Intron4, AD_MIX"	0.104977294	1	0		0	-14.213935	11.781966	-1		Noise			0
CLU	ENSG00000120885	R-HSA-168249; R-HSA-76002; R-HSA-166658; R-HSA-977606; R-HSA-168256	"Innate Immune System; Platelet activation, signaling and aggregation; Complement cascade; Regulation of Complement cascade; Immune System"		0	0	1		0	2.9560764	14.035911	-1		Noise			0
CMA1	ENSG00000092009	R-HSA-1474228; R-HSA-9006934; R-HSA-1474244; R-HSA-162582	Degradation of the extracellular matrix; Signaling by Receptor Tyrosine Kinases; Extracellular matrix organization; Signal Transduction	"SORL1.null, AD_IND, AD_MONO.MIX, AD_MIX"	0.295959626	1	0		0	-1.4324847	8.538088	-1		Noise			0
COL11A1	ENSG00000060718	R-HSA-1474228; R-HSA-9006934; R-HSA-1474244; R-HSA-162582	Degradation of the extracellular matrix; Signaling by Receptor Tyrosine Kinases; Extracellular matrix organization; Signal Transduction		0	0	1		0	-1.5283234	9.041925	-1		Noise			0
COL6A2	ENSG00000142173	R-HSA-9675108; R-HSA-422475; R-HSA-9006934; R-HSA-1474228; R-HSA-1266738; R-HSA-1474244; R-HSA-162582	Nervous system development; Axon guidance; Signaling by Receptor Tyrosine Kinases; Degradation of the extracellular matrix; Developmental Biology; Extracellular matrix organization; Signal Transduction	SORL1.null	0	1	0		0	1.3202301	8.122858	-1		Noise			0
COPB1	ENSG00000129083	R-HSA-168249; R-HSA-6798695; R-HSA-199991; R-HSA-168256; R-HSA-5653656	Innate Immune System; Neutrophil degranulation; Membrane Trafficking; Immune System; Vesicle-mediated transport	PSEN1.Intron4	0.045623934	1	0		0	1.3062805	14.599079	-1		Noise			1
CRCP	ENSG00000241258	R-HSA-168249; R-HSA-168256	Innate Immune System; Immune System		0	0	1		0	16.962234	-6.5219674	-1		Noise			0
CSF1R	ENSG00000182578	R-HSA-9680350; R-HSA-168256	Signaling by CSF1 (M-CSF) in myeloid cells; Immune System		0	0	1		0	1.4037871	11.171859	-1		Noise			0
CSNK2A1	ENSG00000101266	R-HSA-422475; R-HSA-9675108; R-HSA-69278; R-HSA-1640170; R-HSA-1266738; R-HSA-162582	"Axon guidance; Nervous system development; Cell Cycle, Mitotic; Cell Cycle; Developmental Biology; Signal Transduction"		0	0	1		0	0.83348143	8.15321	-1		Noise			0
CSNK2B	ENSG00000204435	R-HSA-9675108; R-HSA-422475; R-HSA-6798695; R-HSA-168249; R-HSA-69278; R-HSA-168256; R-HSA-1266738; R-HSA-162582; R-HSA-1640170	"Nervous system development; Axon guidance; Neutrophil degranulation; Innate Immune System; Cell Cycle, Mitotic; Immune System; Developmental Biology; Signal Transduction; Cell Cycle"	"SORL1.null, AD_MIX"	0.082165326	1	0		0	2.4223912	8.928028	-1		Noise			0
CTNNA1	ENSG00000044115	R-HSA-9006934; R-HSA-421270; R-HSA-4420097; R-HSA-194138; R-HSA-1266738; R-HSA-162582; R-HSA-1500931	Signaling by Receptor Tyrosine Kinases; Cell-cell junction organization; VEGFA-VEGFR2 Pathway; Signaling by VEGF; Developmental Biology; Signal Transduction; Cell-Cell communication		0	0	1		0	-0.25479466	7.6638713	-1		Noise			0
CTNND1	ENSG00000198561	R-HSA-9006934; R-HSA-421270; R-HSA-194138; R-HSA-4420097; R-HSA-1500931; R-HSA-162582	Signaling by Receptor Tyrosine Kinases; Cell-cell junction organization; Signaling by VEGF; VEGFA-VEGFR2 Pathway; Cell-Cell communication; Signal Transduction	APP.V717I	0.034217951	1	0		0	-1.0226322	7.5215306	-1		Noise			0
CTSB	ENSG00000164733	R-HSA-1474228; R-HSA-6798695; R-HSA-168249; R-HSA-168898; R-HSA-1280218; R-HSA-168256; R-HSA-1474244	Degradation of the extracellular matrix; Neutrophil degranulation; Innate Immune System; Toll-like Receptor Cascades; Adaptive Immune System; Immune System; Extracellular matrix organization		0	0	1		0	2.2531867	12.880927	-1		Noise			0
CUL2	ENSG00000108094	R-HSA-422475; R-HSA-9675108; R-HSA-1280218; R-HSA-1234174; R-HSA-168256; R-HSA-1266738	Axon guidance; Nervous system development; Adaptive Immune System; Cellular response to hypoxia; Immune System; Developmental Biology	"PSEN1.Intron4, AD_MONO.MIX, AD_MIX"	0.175201038	1	1		0	3.2323563	10.595096	-1		Noise			0
CYSLTR2	ENSG00000152207	R-HSA-9658195; R-HSA-9824443; R-HSA-162582	Leishmania infection; Parasitic Infection Pathways; Signal Transduction	"SORL1.null, AD_MONO.MIX, AD_MIX"	0.195840437	1	0		0	-3.3976138	9.093557	-1		Noise			0
DAGLB	ENSG00000164535	R-HSA-76002; R-HSA-162582	"Platelet activation, signaling and aggregation; Signal Transduction"		0	0	1		0	-10.993606	18.989565	-1		Noise			0
DGKQ	ENSG00000145214	R-HSA-76002; R-HSA-162582	"Platelet activation, signaling and aggregation; Signal Transduction"		0	0	1		0	-11.564147	19.559677	-1		Noise			0
DLGAP5	ENSG00000126787	R-HSA-157118; R-HSA-9012852; R-HSA-162582	Signaling by NOTCH; Signaling by NOTCH3; Signal Transduction	"PSEN1.Intron4, AD_MIX"	0.150601228	1	0		0	0.47616404	3.9252243	-1		Noise			0
DNAJC3	ENSG00000102580	R-HSA-168249; R-HSA-8957275; R-HSA-6798695; R-HSA-168256	Innate Immune System; Post-translational protein phosphorylation; Neutrophil degranulation; Immune System	"PSEN1.Intron4, AD_MIX"	0.173413195	1	0		0	4.8139076	13.860801	-1		Noise			1
DST	ENSG00000151914	R-HSA-9012999; R-HSA-1500931; R-HSA-1474244; R-HSA-162582	RHO GTPase cycle; Cell-Cell communication; Extracellular matrix organization; Signal Transduction		0	0	1		0	-1.1426612	7.2049613	-1		Noise			0
ECT2	ENSG00000114346	R-HSA-73887; R-HSA-193704; R-HSA-204998; R-HSA-9012999; R-HSA-162582	"Death Receptor Signaling; p75 NTR receptor-mediated signalling; Cell death signalling via NRAGE, NRIF and NADE; RHO GTPase cycle; Signal Transduction"	"SORL1.null, AD_IND, AD_MONO.MIX, AD_MIX"	0.295959626	1	0		0	-2.4094932	5.416689	-1		Noise			0
EED	ENSG00000074266	R-HSA-1266738; R-HSA-162582	Developmental Biology; Signal Transduction		0	0	1		0	24.028969	35.287437	-1		Noise			0
EGLN2	ENSG00000269858	R-HSA-1234174	Cellular response to hypoxia		0	0	1		0	1.9255828	7.6545186	-1		Noise			0
EML4	ENSG00000143924	R-HSA-5663202; R-HSA-69278; R-HSA-1640170	"Diseases of signal transduction by growth factor receptors and second messengers; Cell Cycle, Mitotic; Cell Cycle"	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.311167605	1	0		0	-9.550953	7.6725454	-1		Noise			0
FABP6	ENSG00000170231	R-HSA-9006931; R-HSA-9024446; R-HSA-162582	Signaling by Nuclear Receptors; NR1H2 and NR1H3-mediated signaling; Signal Transduction	"SORL1.null, AD_IND, AD_MONO.MIX, AD_MIX"	0.369826949	1	0		0	-7.7448244	12.644431	-1		Noise			0
FAM114A2	ENSG00000055147	R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers		0	0	1		0	3.6663008	5.4216905	-1		Noise			0
FBN1	ENSG00000166147	R-HSA-1474228; R-HSA-8957275; R-HSA-9006936; R-HSA-162582; R-HSA-1474244	Degradation of the extracellular matrix; Post-translational protein phosphorylation; Signaling by TGFB family members; Signal Transduction; Extracellular matrix organization		0	0	1		0	-1.4417341	8.501589	-1		Noise			0
FERMT2	ENSG00000073712	R-HSA-9012999; R-HSA-1500931; R-HSA-162582	RHO GTPase cycle; Cell-Cell communication; Signal Transduction		0	0	1		0	-1.7545745	5.940619	-1		Noise			1
FGF10	ENSG00000070193	R-HSA-9006934; R-HSA-5663202; R-HSA-1266738; R-HSA-162582	Signaling by Receptor Tyrosine Kinases; Diseases of signal transduction by growth factor receptors and second messengers; Developmental Biology; Signal Transduction	"SORL1.null, AD_MIX"	0.082165326	1	0		0	1.3444428	7.1162047	-1		Noise			0
FIGNL1	ENSG00000132436	R-HSA-1640170	Cell Cycle	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.311167605	1	0		0	8.834442	17.268587	-1		Noise			0
GAB2	ENSG00000033327	R-HSA-168249; R-HSA-5663202; R-HSA-422475; R-HSA-9675108; R-HSA-9006934; R-HSA-9680350; R-HSA-168256; R-HSA-1266738; R-HSA-162582	Innate Immune System; Diseases of signal transduction by growth factor receptors and second messengers; Axon guidance; Nervous system development; Signaling by Receptor Tyrosine Kinases; Signaling by CSF1 (M-CSF) in myeloid cells; Immune System; Developmental Biology; Signal Transduction		0	0	1		0	2.3166773	8.69043	-1		Noise			0
GNAQ	ENSG00000156052	R-HSA-76002; R-HSA-162582	"Platelet activation, signaling and aggregation; Signal Transduction"	"PSEN1.Intron4, AD_MONO.MIX, AD_MIX"	0.209418989	1	0		0	-11.108028	19.103514	-1		Noise			0
GNB4	ENSG00000114450	R-HSA-9824443; R-HSA-76002; R-HSA-9006931; R-HSA-9658195; R-HSA-162582; R-HSA-382551	"Parasitic Infection Pathways; Platelet activation, signaling and aggregation; Signaling by Nuclear Receptors; Leishmania infection; Signal Transduction; Transport of small molecules"	"PSEN1.Intron4, AD_MIX"	0.134306966	1	0		0	-3.0564888	9.396185	-1		Noise			1
GNGT1	ENSG00000127928	R-HSA-9006931; R-HSA-9824443; R-HSA-76002; R-HSA-9658195; R-HSA-162582; R-HSA-382551	"Signaling by Nuclear Receptors; Parasitic Infection Pathways; Platelet activation, signaling and aggregation; Leishmania infection; Signal Transduction; Transport of small molecules"	SORL1.null	0.011405984	1	0		0	-3.0610585	9.240277	-1		Noise			0
GNGT2	ENSG00000167083	R-HSA-9824443; R-HSA-9658195; R-HSA-76002; R-HSA-9006931; R-HSA-162582; R-HSA-382551	"Parasitic Infection Pathways; Leishmania infection; Platelet activation, signaling and aggregation; Signaling by Nuclear Receptors; Signal Transduction; Transport of small molecules"		0	0	1		0	-3.314455	9.625101	-1		Noise			0
GOLGB1	ENSG00000173230	R-HSA-5663202; R-HSA-5653656; R-HSA-199991	Diseases of signal transduction by growth factor receptors and second messengers; Vesicle-mediated transport; Membrane Trafficking	"SORL1.null, AD_MONO.MIX"	0.100639701	1	0		0	-2.1397808	3.18543	-1		Noise			0
H2AC14	ENSG00000276368	R-HSA-977225; R-HSA-157118; R-HSA-9006931; R-HSA-69278; R-HSA-68867; R-HSA-1640170; R-HSA-1266738; R-HSA-162582; R-HSA-69306	"Amyloid fiber formation; Signaling by NOTCH; Signaling by Nuclear Receptors; Cell Cycle, Mitotic; Assembly of the pre-replicative complex; Cell Cycle; Developmental Biology; Signal Transduction; DNA Replication"	"SORL1.null, AD_IND, AD_MONO.MIX"	0.166540939	1	0		0	-6.204556	5.9429493	-1		Noise			0
H2AC18	ENSG00000288825	R-HSA-977225; R-HSA-157118; R-HSA-69278; R-HSA-9006931; R-HSA-68867; R-HSA-1266738; R-HSA-1640170; R-HSA-69306; R-HSA-162582	"Amyloid fiber formation; Signaling by NOTCH; Cell Cycle, Mitotic; Signaling by Nuclear Receptors; Assembly of the pre-replicative complex; Developmental Biology; Cell Cycle; DNA Replication; Signal Transduction"	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.364342723	1	0		0	-5.893877	5.7315583	-1		Noise			0
HP	ENSG00000257017	R-HSA-168249; R-HSA-6798695; R-HSA-5653656; R-HSA-168256	Innate Immune System; Neutrophil degranulation; Vesicle-mediated transport; Immune System		0	0	1		0	1.8789294	14.365611	-1		Noise			0
IGFBP3	ENSG00000146674	R-HSA-8957275	Post-translational protein phosphorylation		0	0	1		0	-0.6957259	15.181203	-1		Noise			0
IGFBP7	ENSG00000163453	R-HSA-8957275	Post-translational protein phosphorylation	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.311167605	1	0		0	-0.48341453	15.071405	-1		Noise			0
IL34	ENSG00000157368	R-HSA-9680350; R-HSA-168256	Signaling by CSF1 (M-CSF) in myeloid cells; Immune System		0	0	1		0	1.9652139	11.453466	-1		Noise			0
IL6	ENSG00000136244	R-HSA-8957275; R-HSA-9658195; R-HSA-9824443; R-HSA-168256; R-HSA-162582	Post-translational protein phosphorylation; Leishmania infection; Parasitic Infection Pathways; Immune System; Signal Transduction	"PSEN1.Intron4, AD_MIX"	0.104977294	1	0		0	-1.2082525	11.750482	-1		Noise			0
IL6R	ENSG00000160712	R-HSA-1266738; R-HSA-168256; R-HSA-162582	Developmental Biology; Immune System; Signal Transduction		0	0	1		0	2.3257895	9.404397	-1		Noise			0
INPP5D	ENSG00000168918	R-HSA-1280218; R-HSA-9680350; R-HSA-168256	Adaptive Immune System; Signaling by CSF1 (M-CSF) in myeloid cells; Immune System		0	0	1		0	1.9170595	10.984203	-1		Noise			0
IRS2	ENSG00000185950	R-HSA-422475; R-HSA-5663202; R-HSA-9006934; R-HSA-9675108; R-HSA-168256; R-HSA-1266738; R-HSA-162582	Axon guidance; Diseases of signal transduction by growth factor receptors and second messengers; Signaling by Receptor Tyrosine Kinases; Nervous system development; Immune System; Developmental Biology; Signal Transduction	"SORL1.null, AD_MONO.MIX, AD_MIX"	0.298494289	1	0		0	2.4199412	8.084374	-1		Noise			0
ITGA2B	ENSG00000005961	R-HSA-5663202; R-HSA-9675108; R-HSA-422475; R-HSA-76002; R-HSA-1266738; R-HSA-162582; R-HSA-1474244	"Diseases of signal transduction by growth factor receptors and second messengers; Nervous system development; Axon guidance; Platelet activation, signaling and aggregation; Developmental Biology; Signal Transduction; Extracellular matrix organization"		0	0	1		0	1.8991556	8.286338	-1		Noise			0
ITGAM	ENSG00000169896	R-HSA-6798695; R-HSA-168249; R-HSA-168898; R-HSA-166016; R-HSA-168256; R-HSA-1474244	Neutrophil degranulation; Innate Immune System; Toll-like Receptor Cascades; Toll Like Receptor 4 (TLR4) Cascade; Immune System; Extracellular matrix organization	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.356791539	1	0		0	3.2349174	13.111021	-1		Noise			1
ITGAX	ENSG00000140678	R-HSA-6798695; R-HSA-168249; R-HSA-168256; R-HSA-1474244	Neutrophil degranulation; Innate Immune System; Immune System; Extracellular matrix organization		0	0	1		0	2.7695854	13.067427	-1		Noise			0
KDM4B	ENSG00000127663	R-HSA-9006931; R-HSA-1266738; R-HSA-162582	Signaling by Nuclear Receptors; Developmental Biology; Signal Transduction		0	0	1		0	23.681496	34.939938	-1		Noise			0
KIF2A	ENSG00000068796	R-HSA-69620; R-HSA-1280218; R-HSA-199991; R-HSA-69278; R-HSA-168256; R-HSA-5653656; R-HSA-162582; R-HSA-1640170	"Cell Cycle Checkpoints; Adaptive Immune System; Membrane Trafficking; Cell Cycle, Mitotic; Immune System; Vesicle-mediated transport; Signal Transduction; Cell Cycle"	"SORL1.null, AD_IND, AD_MONO.MIX, AD_MIX"	0.295959626	1	0		0	-5.5034504	7.02277	-1		Noise			0
KIF5A	ENSG00000155980	R-HSA-199991; R-HSA-1280218; R-HSA-5653656; R-HSA-168256; R-HSA-162582	Membrane Trafficking; Adaptive Immune System; Vesicle-mediated transport; Immune System; Signal Transduction	"SORL1.null, AD_MIX"	0.104977294	1	0		0	0.13063073	13.991195	-1		Noise			0
KLC3	ENSG00000104892	R-HSA-1280218; R-HSA-199991; R-HSA-168256; R-HSA-5653656; R-HSA-162582	Adaptive Immune System; Membrane Trafficking; Immune System; Vesicle-mediated transport; Signal Transduction		0	0	1		0	-0.3055558	14.53791	-1		Noise			0
KLF16	ENSG00000129911	R-HSA-9006936; R-HSA-9839373; R-HSA-162582	Signaling by TGFB family members; Signaling by TGFBR3; Signal Transduction		0	0	1		0	-8.885043	12.518369	-1		Noise			0
LDLR	ENSG00000130164	R-HSA-199991; R-HSA-5653656; R-HSA-382551	Membrane Trafficking; Vesicle-mediated transport; Transport of small molecules		0	0	1		0	-5.1384473	7.650837	-1		Noise			0
LEF1	ENSG00000138795	R-HSA-1266738; R-HSA-162582	Developmental Biology; Signal Transduction		0	0	1		0	23.490067	34.748516	-1		Noise			0
LILRB2	ENSG00000131042	R-HSA-198933; R-HSA-6798695; R-HSA-168249; R-HSA-1280218; R-HSA-168256	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Neutrophil degranulation; Innate Immune System; Adaptive Immune System; Immune System		0	0	1		0	5.732258	-6.680271	-1		Noise			0
LINGO1	ENSG00000169783	R-HSA-73887; R-HSA-193704; R-HSA-162582	Death Receptor Signaling; p75 NTR receptor-mediated signalling; Signal Transduction		0	0	1		0	17.401459	23.188965	-1		Noise			0
LIPC	ENSG00000166035	R-HSA-8963899; R-HSA-382551	Plasma lipoprotein remodeling; Transport of small molecules		0	0	1		0	-4.48216	9.690389	-1		Noise			0
LIPG	ENSG00000101670	R-HSA-8963899; R-HSA-382551	Plasma lipoprotein remodeling; Transport of small molecules		0	0	1		0	-4.2695127	9.535229	-1		Noise			0
LPA	ENSG00000198670	R-HSA-8963899; R-HSA-382551	Plasma lipoprotein remodeling; Transport of small molecules	"SORL1.null, AD_MIX"	0.125616693	1	0		0	-4.4821115	9.876883	-1		Noise			0
LPO	ENSG00000167419	R-HSA-168249; R-HSA-168256	Innate Immune System; Immune System	"SORL1.null, AD_IND, AD_MONO.MIX, AD_MIX"	0.514954512	1	0		0	17.229908	-6.25465	-1		Noise			1
MAGI2	ENSG00000187391	R-HSA-1500931	Cell-Cell communication	"PSEN1.Intron4, AD_IND, AD_MONO.MIX"	0.181748917	1	0		0	5.4033604	9.1089735	-1		Noise			0
MALT1	ENSG00000172175	R-HSA-168249; R-HSA-1280218; R-HSA-168256	Innate Immune System; Adaptive Immune System; Immune System	"APP.V717I, AD_MONO.MIX, AD_MIX"	0.175201038	1	0		0	5.6669564	-6.747759	-1		Noise			1
MANF	ENSG00000145050	R-HSA-76002	"Platelet activation, signaling and aggregation"	"SORL1.null, AD_MIX"	0.095200736	1	0		0	17.783535	17.702848	-1		Noise			0
MAPK9	ENSG00000050748	R-HSA-5663202; R-HSA-168249; R-HSA-168898; R-HSA-166016; R-HSA-168256	Diseases of signal transduction by growth factor receptors and second messengers; Innate Immune System; Toll-like Receptor Cascades; Toll Like Receptor 4 (TLR4) Cascade; Immune System	"APP.V717I, AD_MONO.MIX, AD_MIX"	0.175201038	1	0		0	2.5378437	12.545201	-1		Noise			1
MBD3	ENSG00000071655	R-HSA-1266738; R-HSA-162582	Developmental Biology; Signal Transduction	"PSEN1.Intron4, AD_MONO.MIX, AD_MIX"	0.175201038	1	0		0	23.524225	34.782654	-1		Noise			0
